Número de factura,Sucursal,Ciudad,Tipo de cliente,Género,Línea de producto,Precio unitario,Cantidad,Impuesto 5%,Total,Fecha,Hora,Método de pago,Costo de bienes vendidos,Porcentaje de margen bruto,Ingreso bruto,Calificación
459-50-7686,A,Yangon,Normal,Femenino,Accesorios electrónicos,"23,46",6,"7,038","147,798",13/01/2019,19:14,Billetera electrónica,"140,76","4,761904762","7,038","6,4"
616-87-0016,B,Mandalay,Normal,Masculino,Accesorios de moda,"95,54",7,"33,439","702,219",09/03/2019,14:36,Tarjeta de crédito,"668,78","4,761904762","33,439","9,6"
837-55-7229,B,Mandalay,Normal,Femenino,Accesorios de moda,"47,44",1,"2,372","49,812",22/02/2019,18:19,Tarjeta de crédito,"47,44","4,761904762","2,372","6,8"
751-69-0068,C,Naypyitaw,Normal,Masculino,Deportes y viajes,"99,24",9,"44,658","937,818",19/03/2019,19:09,Billetera electrónica,"893,16","4,761904762","44,658","9,0"
257-73-1380,C,Naypyitaw,Miembro,Masculino,Deportes y viajes,"82,93",4,"16,586","348,306",20/01/2019,16:51,Billetera electrónica,"331,72","4,761904762","16,586","9,6"
345-08-4992,A,Yangon,Normal,Masculino,Hogar y estilo de vida,"33,99",6,"10,197","214,137",08/03/2019,15:37,Tarjeta de crédito,"203,94","4,761904762","10,197","7,7"
549-96-4200,C,Naypyitaw,Miembro,Masculino,Alimentos y bebidas,"17,04",4,"3,408","71,568",08/03/2019,20:15,Billetera electrónica,"68,16","4,761904762","3,408","7,0"
810-60-6344,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"40,86",8,"16,344","343,224",07/02/2019,14:38,Tarjeta de crédito,"326,88","4,761904762","16,344","6,5"
450-28-2866,C,Naypyitaw,Miembro,Masculino,Alimentos y bebidas,"17,44",5,"4,36","91,56",15/01/2019,19:25,Efectivo,"87,2","4,761904762","4,36","8,1"
394-30-3170,B,Mandalay,Miembro,Femenino,Deportes y viajes,"88,43",8,"35,372","742,812",22/03/2019,19:35,Tarjeta de crédito,"707,44","4,761904762","35,372","4,3"
138-17-5109,A,Yangon,Miembro,Femenino,Hogar y estilo de vida,"89,21",9,"40,1445","843,0345",15/01/2019,15:42,Tarjeta de crédito,"802,89","4,761904762","40,1445","6,5"
192-98-7397,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"12,78",1,"0,639","13,419",08/01/2019,14:11,Billetera electrónica,"12,78","4,761904762","0,639","9,5"
301-11-9629,A,Yangon,Normal,Femenino,Deportes y viajes,"19,1",7,"6,685","140,385",15/01/2019,10:43,Efectivo,"133,7","4,761904762","6,685","9,7"
390-80-5128,B,Mandalay,Miembro,Femenino,Salud y belleza,"19,15",1,"0,9575","20,1075",28/01/2019,17:58,Tarjeta de crédito,"19,15","4,761904762","0,9575","9,5"
235-46-8343,C,Naypyitaw,Miembro,Masculino,Alimentos y bebidas,"27,66",10,"13,83","290,43",14/02/2019,11:26,Tarjeta de crédito,"276,6","4,761904762","13,83","8,9"
453-12-7053,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"45,74",3,"6,861","144,081",10/03/2019,17:38,Tarjeta de crédito,"137,22","4,761904762","6,861","6,5"
296-11-7041,B,Mandalay,Miembro,Femenino,Salud y belleza,"27,07",1,"1,3535","28,4235",12/01/2019,20:07,Tarjeta de crédito,"27,07","4,761904762","1,3535","5,3"
449-27-2918,B,Mandalay,Miembro,Femenino,Deportes y viajes,"39,12",1,"1,956","41,076",26/03/2019,11:02,Tarjeta de crédito,"39,12","4,761904762","1,956","9,6"
891-01-7034,B,Mandalay,Normal,Femenino,Accesorios electrónicos,"74,71",6,"22,413","470,673",01/01/2019,19:07,Efectivo,"448,26","4,761904762","22,413","6,7"
744-09-5786,B,Mandalay,Normal,Masculino,Accesorios electrónicos,"22,01",6,"6,603","138,663",02/01/2019,18:50,Efectivo,"132,06","4,761904762","6,603","7,6"
727-17-0390,A,Yangon,Normal,Femenino,Alimentos y bebidas,"63,61",5,"15,9025","333,9525",16/03/2019,12:43,Billetera electrónica,"318,05","4,761904762","15,9025","4,8"
568-88-3448,A,Yangon,Normal,Masculino,Salud y belleza,"25,0",1,"1,25","26,25",03/03/2019,15:09,Billetera electrónica,"25,0","4,761904762","1,25","5,5"
187-83-5490,A,Yangon,Miembro,Masculino,Accesorios electrónicos,"20,77",4,"4,154","87,234",31/01/2019,13:47,Efectivo,"83,08","4,761904762","4,154","4,7"
767-54-1907,B,Mandalay,Miembro,Femenino,Accesorios de moda,"29,56",5,"7,39","155,19",13/02/2019,16:59,Efectivo,"147,8","4,761904762","7,39","6,9"
710-46-4433,B,Mandalay,Miembro,Femenino,Alimentos y bebidas,"77,4",9,"34,83","731,43",15/02/2019,14:15,Tarjeta de crédito,"696,6","4,761904762","34,83","4,5"
533-33-5337,B,Mandalay,Normal,Masculino,Accesorios electrónicos,"79,39",10,"39,695","833,595",07/02/2019,20:24,Efectivo,"793,9","4,761904762","39,695","6,2"
325-90-8763,C,Naypyitaw,Miembro,Femenino,Accesorios electrónicos,"46,57",10,"23,285","488,985",27/01/2019,13:58,Efectivo,"465,7","4,761904762","23,285","7,6"
729-46-7422,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"35,89",1,"1,7945","37,6845",23/02/2019,16:52,Tarjeta de crédito,"35,89","4,761904762","1,7945","7,9"
639-76-1242,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"40,52",5,"10,13","212,73",03/02/2019,15:19,Efectivo,"202,6","4,761904762","10,13","4,5"
234-03-4040,B,Mandalay,Miembro,Femenino,Alimentos y bebidas,"73,05",10,"36,525","767,025",03/03/2019,12:25,Tarjeta de crédito,"730,5","4,761904762","36,525","8,7"
326-71-2155,C,Naypyitaw,Normal,Femenino,Deportes y viajes,"73,95",4,"14,79","310,59",03/02/2019,10:02,Efectivo,"295,8","4,761904762","14,79","6,1"
320-32-8842,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"22,62",1,"1,131","23,751",17/03/2019,18:58,Efectivo,"22,62","4,761904762","1,131","6,4"
470-32-9057,A,Yangon,Miembro,Masculino,Alimentos y bebidas,"51,34",5,"12,835","269,535",28/03/2019,15:31,Tarjeta de crédito,"256,7","4,761904762","12,835","9,1"
878-30-2331,C,Naypyitaw,Miembro,Femenino,Deportes y viajes,"54,55",10,"27,275","572,775",02/03/2019,11:22,Tarjeta de crédito,"545,5","4,761904762","27,275","7,1"
440-59-5691,C,Naypyitaw,Miembro,Femenino,Salud y belleza,"37,15",7,"13,0025","273,0525",08/02/2019,13:12,Tarjeta de crédito,"260,05","4,761904762","13,0025","7,7"
554-53-3790,B,Mandalay,Normal,Masculino,Deportes y viajes,"37,02",6,"11,106","233,226",22/03/2019,18:33,Efectivo,"222,12","4,761904762","11,106","4,5"
746-19-0921,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"21,58",1,"1,079","22,659",09/02/2019,10:02,Billetera electrónica,"21,58","4,761904762","1,079","7,2"
233-34-0817,C,Naypyitaw,Miembro,Femenino,Accesorios electrónicos,"98,84",1,"4,942","103,782",15/02/2019,11:21,Efectivo,"98,84","4,761904762","4,942","8,4"
767-05-1286,C,Naypyitaw,Miembro,Femenino,Hogar y estilo de vida,"83,77",6,"25,131","527,751",23/01/2019,12:10,Billetera electrónica,"502,62","4,761904762","25,131","5,4"
340-21-9136,A,Yangon,Miembro,Femenino,Deportes y viajes,"40,05",4,"8,01","168,21",25/01/2019,11:40,Efectivo,"160,2","4,761904762","8,01","9,7"
405-31-3305,A,Yangon,Miembro,Masculino,Accesorios de moda,"43,13",10,"21,565","452,865",02/02/2019,18:31,Tarjeta de crédito,"431,3","4,761904762","21,565","5,5"
731-59-7531,B,Mandalay,Miembro,Masculino,Salud y belleza,"72,57",8,"29,028","609,588",30/03/2019,17:58,Efectivo,"580,56","4,761904762","29,028","4,6"
676-39-6028,A,Yangon,Miembro,Femenino,Accesorios electrónicos,"64,44",5,"16,11","338,31",30/03/2019,17:04,Efectivo,"322,2","4,761904762","16,11","6,6"
502-05-1910,A,Yangon,Normal,Masculino,Salud y belleza,"65,18",3,"9,777","205,317",25/02/2019,20:35,Tarjeta de crédito,"195,54","4,761904762","9,777","6,3"
485-30-8700,A,Yangon,Normal,Femenino,Deportes y viajes,"33,26",5,"8,315","174,615",18/03/2019,16:10,Tarjeta de crédito,"166,3","4,761904762","8,315","4,2"
598-47-9715,C,Naypyitaw,Normal,Masculino,Accesorios electrónicos,"84,07",4,"16,814","353,094",07/03/2019,16:54,Billetera electrónica,"336,28","4,761904762","16,814","4,4"
701-69-8742,B,Mandalay,Normal,Masculino,Deportes y viajes,"34,37",10,"17,185","360,885",16/03/2019,10:11,Billetera electrónica,"343,7","4,761904762","17,185","6,7"
575-67-1508,A,Yangon,Normal,Masculino,Accesorios electrónicos,"38,6",1,"1,93","40,53",29/01/2019,11:26,Billetera electrónica,"38,6","4,761904762","1,93","6,7"
541-08-3113,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"65,97",8,"26,388","554,148",02/02/2019,20:29,Efectivo,"527,76","4,761904762","26,388","8,4"
246-11-3901,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"32,8",10,"16,4","344,4",15/02/2019,12:12,Efectivo,"328,0","4,761904762","16,4","6,2"
674-15-9296,A,Yangon,Normal,Masculino,Deportes y viajes,"37,14",5,"9,285","194,985",08/01/2019,13:05,Billetera electrónica,"185,7","4,761904762","9,285","5,0"
305-18-3552,B,Mandalay,Miembro,Masculino,Hogar y estilo de vida,"60,38",10,"30,19","633,99",12/02/2019,16:19,Efectivo,"603,8","4,761904762","30,19","6,0"
493-65-6248,C,Naypyitaw,Miembro,Femenino,Deportes y viajes,"36,98",10,"18,49","388,29",01/01/2019,19:48,Tarjeta de crédito,"369,8","4,761904762","18,49","7,0"
438-01-4015,B,Mandalay,Miembro,Femenino,Deportes y viajes,"49,49",4,"9,898","207,858",21/03/2019,15:25,Billetera electrónica,"197,96","4,761904762","9,898","6,6"
709-58-4068,B,Mandalay,Normal,Femenino,Accesorios de moda,"41,09",10,"20,545","431,445",28/02/2019,14:42,Efectivo,"410,9","4,761904762","20,545","7,3"
795-49-7276,A,Yangon,Normal,Masculino,Accesorios de moda,"37,15",4,"7,43","156,03",23/03/2019,18:59,Billetera electrónica,"148,6","4,761904762","7,43","8,3"
556-72-8512,C,Naypyitaw,Normal,Masculino,Hogar y estilo de vida,"22,96",1,"1,148","24,108",30/01/2019,20:47,Efectivo,"22,96","4,761904762","1,148","4,3"
627-95-3243,B,Mandalay,Miembro,Femenino,Hogar y estilo de vida,"77,68",9,"34,956","734,076",04/02/2019,13:21,Billetera electrónica,"699,12","4,761904762","34,956","9,8"
686-41-0932,B,Mandalay,Normal,Femenino,Accesorios de moda,"34,7",2,"3,47","72,87",13/03/2019,19:48,Billetera electrónica,"69,4","4,761904762","3,47","8,2"
510-09-5628,A,Yangon,Miembro,Femenino,Accesorios de moda,"19,66",10,"9,83","206,43",15/03/2019,18:20,Tarjeta de crédito,"196,6","4,761904762","9,83","7,2"
608-04-3797,B,Mandalay,Miembro,Femenino,Salud y belleza,"25,32",8,"10,128","212,688",05/03/2019,20:24,Billetera electrónica,"202,56","4,761904762","10,128","8,7"
148-82-2527,C,Naypyitaw,Miembro,Femenino,Hogar y estilo de vida,"12,12",10,"6,06","127,26",05/03/2019,13:44,Tarjeta de crédito,"121,2","4,761904762","6,06","8,4"
437-53-3084,B,Mandalay,Normal,Masculino,Accesorios de moda,"99,89",2,"9,989","209,769",26/02/2019,11:48,Billetera electrónica,"199,78","4,761904762","9,989","7,1"
632-32-4574,B,Mandalay,Normal,Masculino,Deportes y viajes,"75,92",8,"30,368","637,728",20/03/2019,14:14,Efectivo,"607,36","4,761904762","30,368","5,5"
556-97-7101,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"63,22",2,"6,322","132,762",01/01/2019,15:51,Efectivo,"126,44","4,761904762","6,322","8,5"
862-59-8517,C,Naypyitaw,Normal,Femenino,Alimentos y bebidas,"90,24",6,"27,072","568,512",27/01/2019,11:17,Efectivo,"541,44","4,761904762","27,072","6,2"
401-18-8016,B,Mandalay,Miembro,Femenino,Deportes y viajes,"98,13",1,"4,9065","103,0365",21/01/2019,17:36,Efectivo,"98,13","4,761904762","4,9065","8,9"
420-18-8989,A,Yangon,Miembro,Femenino,Deportes y viajes,"51,52",8,"20,608","432,768",02/02/2019,15:47,Efectivo,"412,16","4,761904762","20,608","9,6"
277-63-2961,B,Mandalay,Miembro,Masculino,Deportes y viajes,"73,97",1,"3,6985","77,6685",03/02/2019,15:53,Tarjeta de crédito,"73,97","4,761904762","3,6985","5,4"
573-98-8548,C,Naypyitaw,Miembro,Femenino,Accesorios de moda,"31,9",1,"1,595","33,495",05/01/2019,12:40,Billetera electrónica,"31,9","4,761904762","1,595","9,1"
620-02-2046,C,Naypyitaw,Normal,Masculino,Hogar y estilo de vida,"69,4",2,"6,94","145,74",27/01/2019,19:48,Billetera electrónica,"138,8","4,761904762","6,94","9,0"
282-35-2475,B,Mandalay,Normal,Femenino,Deportes y viajes,"93,31",2,"9,331","195,951",25/03/2019,17:53,Efectivo,"186,62","4,761904762","9,331","6,3"
511-54-3087,B,Mandalay,Normal,Masculino,Deportes y viajes,"88,45",1,"4,4225","92,8725",25/02/2019,16:36,Tarjeta de crédito,"88,45","4,761904762","4,4225","9,5"
726-29-6793,A,Yangon,Miembro,Masculino,Accesorios electrónicos,"24,18",8,"9,672","203,112",28/01/2019,20:54,Billetera electrónica,"193,44","4,761904762","9,672","9,8"
387-49-4215,B,Mandalay,Miembro,Femenino,Deportes y viajes,"48,5",3,"7,275","152,775",08/01/2019,12:50,Efectivo,"145,5","4,761904762","7,275","6,7"
862-17-9201,B,Mandalay,Normal,Femenino,Alimentos y bebidas,"84,05",6,"25,215","529,515",29/01/2019,10:48,Tarjeta de crédito,"504,3","4,761904762","25,215","7,7"
291-21-5991,B,Mandalay,Miembro,Masculino,Salud y belleza,"61,29",5,"15,3225","321,7725",29/03/2019,14:28,Efectivo,"306,45","4,761904762","15,3225","7,0"
602-80-9671,C,Naypyitaw,Miembro,Femenino,Hogar y estilo de vida,"15,95",6,"4,785","100,485",09/02/2019,17:15,Tarjeta de crédito,"95,7","4,761904762","4,785","5,1"
347-72-6115,B,Mandalay,Miembro,Femenino,Deportes y viajes,"90,74",7,"31,759","666,939",16/01/2019,18:03,Tarjeta de crédito,"635,18","4,761904762","31,759","6,2"
209-61-0206,A,Yangon,Normal,Femenino,Hogar y estilo de vida,"42,91",5,"10,7275","225,2775",05/01/2019,17:29,Billetera electrónica,"214,55","4,761904762","10,7275","6,1"
595-27-4851,A,Yangon,Normal,Femenino,Accesorios de moda,"54,28",7,"18,998","398,958",27/01/2019,18:05,Billetera electrónica,"379,96","4,761904762","18,998","9,3"
189-52-0236,A,Yangon,Normal,Masculino,Accesorios electrónicos,"99,55",7,"34,8425","731,6925",14/03/2019,12:07,Efectivo,"696,85","4,761904762","34,8425","7,6"
503-07-0930,C,Naypyitaw,Miembro,Masculino,Deportes y viajes,"58,39",7,"20,4365","429,1665",23/02/2019,19:49,Tarjeta de crédito,"408,73","4,761904762","20,4365","8,2"
413-20-6708,C,Naypyitaw,Miembro,Femenino,Accesorios de moda,"51,47",1,"2,5735","54,0435",18/03/2019,15:52,Billetera electrónica,"51,47","4,761904762","2,5735","8,5"
425-85-2085,B,Mandalay,Miembro,Masculino,Salud y belleza,"54,86",5,"13,715","288,015",29/03/2019,16:48,Billetera electrónica,"274,3","4,761904762","13,715","9,8"
521-18-7827,C,Naypyitaw,Miembro,Masculino,Hogar y estilo de vida,"39,39",5,"9,8475","206,7975",22/01/2019,20:46,Tarjeta de crédito,"196,95","4,761904762","9,8475","8,7"
220-28-1851,A,Yangon,Normal,Masculino,Hogar y estilo de vida,"34,73",2,"3,473","72,933",01/03/2019,18:14,Billetera electrónica,"69,46","4,761904762","3,473","9,7"
600-38-9738,C,Naypyitaw,Miembro,Masculino,Deportes y viajes,"71,92",5,"17,98","377,58",17/01/2019,15:05,Tarjeta de crédito,"359,6","4,761904762","17,98","4,3"
734-91-1155,B,Mandalay,Normal,Femenino,Accesorios electrónicos,"45,71",3,"6,8565","143,9865",26/03/2019,10:34,Tarjeta de crédito,"137,13","4,761904762","6,8565","7,7"
451-28-5717,C,Naypyitaw,Miembro,Femenino,Hogar y estilo de vida,"83,17",6,"24,951","523,971",20/03/2019,11:23,Efectivo,"499,02","4,761904762","24,951","7,3"
609-81-8548,A,Yangon,Miembro,Femenino,Hogar y estilo de vida,"37,44",6,"11,232","235,872",06/02/2019,13:55,Tarjeta de crédito,"224,64","4,761904762","11,232","5,9"
133-14-7229,C,Naypyitaw,Normal,Masculino,Salud y belleza,"62,87",2,"6,287","132,027",01/01/2019,11:43,Efectivo,"125,74","4,761904762","6,287","5,0"
534-01-4457,A,Yangon,Normal,Masculino,Alimentos y bebidas,"81,71",6,"24,513","514,773",27/01/2019,14:36,Tarjeta de crédito,"490,26","4,761904762","24,513","8,0"
719-89-8991,A,Yangon,Miembro,Femenino,Deportes y viajes,"91,41",5,"22,8525","479,9025",25/02/2019,16:03,Billetera electrónica,"457,05","4,761904762","22,8525","7,1"
286-62-6248,B,Mandalay,Normal,Masculino,Accesorios de moda,"39,21",4,"7,842","164,682",16/01/2019,20:03,Tarjeta de crédito,"156,84","4,761904762","7,842","9,0"
339-38-9982,B,Mandalay,Miembro,Masculino,Accesorios de moda,"59,86",2,"5,986","125,706",13/01/2019,14:55,Billetera electrónica,"119,72","4,761904762","5,986","6,7"
827-44-5872,B,Mandalay,Miembro,Femenino,Alimentos y bebidas,"54,36",10,"27,18","570,78",07/02/2019,11:28,Tarjeta de crédito,"543,6","4,761904762","27,18","6,1"
827-77-7633,A,Yangon,Normal,Masculino,Deportes y viajes,"98,09",9,"44,1405","926,9505",17/02/2019,19:41,Efectivo,"882,81","4,761904762","44,1405","9,3"
287-83-1405,A,Yangon,Normal,Masculino,Salud y belleza,"25,43",6,"7,629","160,209",12/02/2019,19:01,Billetera electrónica,"152,58","4,761904762","7,629","7,0"
435-13-4908,A,Yangon,Miembro,Masculino,Accesorios de moda,"86,68",8,"34,672","728,112",24/01/2019,18:04,Tarjeta de crédito,"693,44","4,761904762","34,672","7,2"
857-67-9057,B,Mandalay,Normal,Masculino,Accesorios electrónicos,"22,95",10,"11,475","240,975",06/02/2019,19:20,Billetera electrónica,"229,5","4,761904762","11,475","8,2"
236-27-1144,C,Naypyitaw,Normal,Femenino,Alimentos y bebidas,"16,31",9,"7,3395","154,1295",26/03/2019,10:31,Billetera electrónica,"146,79","4,761904762","7,3395","8,4"
892-05-6689,A,Yangon,Normal,Femenino,Hogar y estilo de vida,"28,32",5,"7,08","148,68",11/03/2019,13:28,Billetera electrónica,"141,6","4,761904762","7,08","6,2"
583-41-4548,C,Naypyitaw,Normal,Masculino,Hogar y estilo de vida,"16,67",7,"5,8345","122,5245",07/02/2019,11:36,Billetera electrónica,"116,69","4,761904762","5,8345","7,4"
339-12-4827,B,Mandalay,Miembro,Femenino,Accesorios de moda,"73,96",1,"3,698","77,658",05/01/2019,11:32,Tarjeta de crédito,"73,96","4,761904762","3,698","5,0"
643-38-7867,A,Yangon,Normal,Masculino,Hogar y estilo de vida,"97,94",1,"4,897","102,837",07/03/2019,11:44,Billetera electrónica,"97,94","4,761904762","4,897","6,9"
308-81-0538,A,Yangon,Normal,Femenino,Accesorios de moda,"73,05",4,"14,61","306,81",25/02/2019,17:16,Tarjeta de crédito,"292,2","4,761904762","14,61","4,9"
358-88-9262,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"87,48",6,"26,244","551,124",01/02/2019,18:43,Billetera electrónica,"524,88","4,761904762","26,244","5,1"
460-35-4390,A,Yangon,Normal,Masculino,Hogar y estilo de vida,"30,68",3,"4,602","96,642",22/01/2019,11:00,Billetera electrónica,"92,04","4,761904762","4,602","9,1"
343-87-0864,C,Naypyitaw,Miembro,Masculino,Salud y belleza,"75,88",1,"3,794","79,674",03/01/2019,10:30,Tarjeta de crédito,"75,88","4,761904762","3,794","7,1"
173-50-1108,B,Mandalay,Miembro,Femenino,Deportes y viajes,"20,18",4,"4,036","84,756",13/02/2019,12:14,Tarjeta de crédito,"80,72","4,761904762","4,036","5,0"
243-47-2663,C,Naypyitaw,Miembro,Masculino,Accesorios electrónicos,"18,77",6,"5,631","118,251",28/01/2019,16:43,Tarjeta de crédito,"112,62","4,761904762","5,631","5,5"
841-18-8232,B,Mandalay,Normal,Femenino,Alimentos y bebidas,"71,2",1,"3,56","74,76",05/01/2019,20:40,Tarjeta de crédito,"71,2","4,761904762","3,56","9,2"
701-23-5550,B,Mandalay,Miembro,Masculino,Hogar y estilo de vida,"38,81",4,"7,762","163,002",19/03/2019,13:40,Billetera electrónica,"155,24","4,761904762","7,762","4,9"
647-50-1224,A,Yangon,Normal,Femenino,Accesorios de moda,"29,42",10,"14,71","308,91",12/01/2019,16:23,Billetera electrónica,"294,2","4,761904762","14,71","8,9"
541-48-8554,A,Yangon,Normal,Masculino,Deportes y viajes,"60,95",9,"27,4275","575,9775",07/01/2019,12:08,Tarjeta de crédito,"548,55","4,761904762","27,4275","6,0"
539-21-7227,B,Mandalay,Normal,Femenino,Deportes y viajes,"51,54",5,"12,885","270,585",26/01/2019,17:45,Efectivo,"257,7","4,761904762","12,885","4,2"
213-32-1216,A,Yangon,Normal,Femenino,Accesorios electrónicos,"66,06",6,"19,818","416,178",23/01/2019,10:28,Efectivo,"396,36","4,761904762","19,818","7,3"
747-58-7183,B,Mandalay,Normal,Masculino,Accesorios de moda,"57,27",3,"8,5905","180,4005",09/02/2019,20:31,Billetera electrónica,"171,81","4,761904762","8,5905","6,5"
582-52-8065,B,Mandalay,Normal,Femenino,Accesorios de moda,"54,31",9,"24,4395","513,2295",22/02/2019,10:49,Efectivo,"488,79","4,761904762","24,4395","8,9"
210-57-1719,B,Mandalay,Normal,Femenino,Salud y belleza,"58,24",9,"26,208","550,368",05/02/2019,12:34,Efectivo,"524,16","4,761904762","26,208","9,7"
399-69-4630,C,Naypyitaw,Normal,Masculino,Accesorios electrónicos,"22,21",6,"6,663","139,923",07/03/2019,10:23,Tarjeta de crédito,"133,26","4,761904762","6,663","8,6"
134-75-2619,A,Yangon,Miembro,Masculino,Accesorios electrónicos,"19,32",7,"6,762","142,002",25/03/2019,18:51,Efectivo,"135,24","4,761904762","6,762","6,9"
356-44-8813,B,Mandalay,Normal,Masculino,Hogar y estilo de vida,"37,48",3,"5,622","118,062",20/01/2019,13:45,Tarjeta de crédito,"112,44","4,761904762","5,622","7,7"
198-66-9832,B,Mandalay,Miembro,Femenino,Accesorios de moda,"72,04",2,"7,204","151,284",04/02/2019,19:38,Efectivo,"144,08","4,761904762","7,204","9,5"
283-26-5248,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"98,52",10,"49,26","1034,46",30/01/2019,20:23,Billetera electrónica,"985,2","4,761904762","49,26","4,5"
712-39-0363,A,Yangon,Miembro,Masculino,Alimentos y bebidas,"41,66",6,"12,498","262,458",02/01/2019,15:24,Billetera electrónica,"249,96","4,761904762","12,498","5,6"
218-59-9410,A,Yangon,Miembro,Femenino,Hogar y estilo de vida,"72,42",3,"10,863","228,123",29/03/2019,16:54,Billetera electrónica,"217,26","4,761904762","10,863","8,2"
174-75-0888,B,Mandalay,Normal,Masculino,Accesorios electrónicos,"21,58",9,"9,711","203,931",14/03/2019,12:32,Efectivo,"194,22","4,761904762","9,711","7,3"
866-99-7614,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"89,2",10,"44,6","936,6",11/02/2019,15:42,Tarjeta de crédito,"892,0","4,761904762","44,6","4,4"
134-54-4720,B,Mandalay,Normal,Femenino,Accesorios electrónicos,"42,42",8,"16,968","356,328",30/01/2019,13:58,Billetera electrónica,"339,36","4,761904762","16,968","5,7"
760-90-2357,A,Yangon,Miembro,Masculino,Accesorios electrónicos,"74,51",6,"22,353","469,413",20/03/2019,15:08,Billetera electrónica,"447,06","4,761904762","22,353","5,0"
514-37-2845,B,Mandalay,Normal,Masculino,Accesorios de moda,"99,25",2,"9,925","208,425",20/03/2019,13:02,Efectivo,"198,5","4,761904762","9,925","9,0"
698-98-5964,A,Yangon,Normal,Femenino,Alimentos y bebidas,"81,21",10,"40,605","852,705",17/01/2019,13:01,Tarjeta de crédito,"812,1","4,761904762","40,605","6,3"
718-57-9773,C,Naypyitaw,Normal,Femenino,Deportes y viajes,"49,33",10,"24,665","517,965",03/02/2019,16:40,Tarjeta de crédito,"493,3","4,761904762","24,665","9,4"
651-88-7328,A,Yangon,Normal,Femenino,Accesorios de moda,"65,74",9,"29,583","621,243",01/01/2019,13:55,Efectivo,"591,66","4,761904762","29,583","7,7"
241-11-2261,B,Mandalay,Normal,Femenino,Accesorios de moda,"79,86",7,"27,951","586,971",10/01/2019,10:33,Tarjeta de crédito,"559,02","4,761904762","27,951","5,5"
408-26-9866,C,Naypyitaw,Normal,Femenino,Deportes y viajes,"73,98",7,"25,893","543,753",02/03/2019,16:42,Billetera electrónica,"517,86","4,761904762","25,893","4,1"
834-83-1826,B,Mandalay,Miembro,Femenino,Hogar y estilo de vida,"82,04",5,"20,51","430,71",25/02/2019,17:16,Tarjeta de crédito,"410,2","4,761904762","20,51","7,6"
343-61-3544,B,Mandalay,Miembro,Masculino,Deportes y viajes,"26,67",10,"13,335","280,035",29/01/2019,11:48,Efectivo,"266,7","4,761904762","13,335","8,6"
239-48-4278,A,Yangon,Miembro,Masculino,Alimentos y bebidas,"10,13",7,"3,5455","74,4555",10/03/2019,19:35,Billetera electrónica,"70,91","4,761904762","3,5455","8,3"
355-34-6244,B,Mandalay,Normal,Masculino,Alimentos y bebidas,"72,39",2,"7,239","152,019",13/01/2019,19:55,Tarjeta de crédito,"144,78","4,761904762","7,239","8,1"
550-84-8664,A,Yangon,Normal,Masculino,Deportes y viajes,"85,91",5,"21,4775","451,0275",22/03/2019,14:33,Tarjeta de crédito,"429,55","4,761904762","21,4775","8,6"
339-96-8318,B,Mandalay,Miembro,Masculino,Accesorios de moda,"81,31",7,"28,4585","597,6285",01/03/2019,19:49,Billetera electrónica,"569,17","4,761904762","28,4585","6,3"
458-61-0011,B,Mandalay,Normal,Masculino,Alimentos y bebidas,"60,3",4,"12,06","253,26",20/02/2019,18:43,Efectivo,"241,2","4,761904762","12,06","5,8"
592-34-6155,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"31,77",4,"6,354","133,434",14/01/2019,14:43,Billetera electrónica,"127,08","4,761904762","6,354","6,2"
797-88-0493,A,Yangon,Normal,Femenino,Salud y belleza,"64,27",4,"12,854","269,934",26/03/2019,13:54,Efectivo,"257,08","4,761904762","12,854","7,7"
207-73-1363,B,Mandalay,Normal,Masculino,Salud y belleza,"69,51",2,"6,951","145,971",01/03/2019,12:15,Billetera electrónica,"139,02","4,761904762","6,951","8,1"
390-31-6381,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"27,22",3,"4,083","85,743",07/01/2019,12:37,Efectivo,"81,66","4,761904762","4,083","7,3"
443-82-0585,A,Yangon,Miembro,Femenino,Salud y belleza,"77,68",4,"15,536","326,256",01/02/2019,19:54,Efectivo,"310,72","4,761904762","15,536","8,4"
339-18-7061,C,Naypyitaw,Miembro,Femenino,Accesorios de moda,"92,98",2,"9,298","195,258",13/02/2019,15:06,Tarjeta de crédito,"185,96","4,761904762","9,298","8,0"
359-90-3665,B,Mandalay,Miembro,Femenino,Accesorios de moda,"18,08",4,"3,616","75,936",14/01/2019,18:03,Tarjeta de crédito,"72,32","4,761904762","3,616","9,5"
